Contact ID,What is your current level of education?,Primary Associated Company ID,Number of Associated Deals,Omics Technology you are more interested in,Country/Region,City,Create Date,Level of Education,Last Activity Date,Original Source,Close Date,Days To Close,How difficult was it to take the couses?,How would you rate your experience?,Quote/Testimonial,Rate your experience,Rate your overall experience,Total Revenue,Was the previous course you took useful to complete this lesson?,Were the topics covered of interest?,What would you rate the workshop (1 poor - 5 excellent),Would you recommend the OmicsLogic Bioinformatics Research Fellowship Program to other students?,Would you recommend the course to anyone?,Associated Company
18166751,,6128541849,,,,,5/26/22 8:09,,5/26/22 8:09,Offline Sources,,,,,,,,,,,,,,Chandigarh Group Of Colleges
18166251,,,,,,,5/26/22 6:53,,,Direct Traffic,,,Extremely easy,,,5,,,Yes,,,,Yes,
18166201,,,,,,,5/26/22 6:51,,5/26/22 6:51,Offline Sources,,,,,,,,,,,,,,
18165601,,,,,,,5/26/22 6:28,,,Offline Sources,,,,,,,,,,,,,,
18165251,,,,,,,5/26/22 5:15,,,Organic Search,,,It was not hard neither too easy,,,5,,,Yes,,,,Yes,
18164901,,8789468802,,,,,5/26/22 4:36,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Organic Social,,,,,,,,,,,,,,Manisa Celal Bayar University
18164451,,,,,,,5/26/22 3:49,,,Organic Search,,,,,,,,,,,,,,
18164501,,,,,,,5/26/22 3:48,,,Organic Search,,,,,,,,,,,,,,
18162601,,8788066368,,,,,5/26/22 0:34,Doctorate (Ph.D.),,Organic Social,,,,,,,,,,,,,,"Punjab Agricultural University, Ludhiana"
18161701,,,,,India,,5/25/22 22:51,,,Direct Traffic,,,,,,,,,,,,,,
18161251,,,,,,,5/25/22 21:26,,,Offline Sources,,,,,,,,,,,,,,
18160401,,8786753927,,,,,5/25/22 19:13,Doctorate (Ph.D.),,Referrals,,,,,,,,,,,,,,Kohat University of Science and Technology Kohat
18160251,,8786861726,,,,Soroca,5/25/22 18:50,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Organic Social,,,It was not hard neither too easy,,,4,,,Yes,,,,Yes,UAIC
18160001,,8786778646,,,,,5/25/22 18:41,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Email Marketing,,,,,,,,,,,,,,University of Kansas Medical Center
18159801,,8785789474,,,,Barrie,5/25/22 18:04,Undergraduate (Bachelors - B.Sc. or B.A.),,Direct Traffic,,,It was not hard neither too easy,,,3,,,Yes,,,,Yes,University of Guelph
18159351,,8786610501,,,,,5/25/22 17:41,"Graduate (Masters, M.Sc. typically with intent to pursue Ph.D.)",,Email Marketing,,,,,,,,,,,,,,UH Manoa
